,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
17284,7242.0,5.0,20120908.0, ARG, ARGH                , South Carolina      ,cf2012    
17285,5749.0,6.0,20120908.0, ARG, ARGH                , Notre Dame          ,cf2012    
17286,7582.0,7.0,20120908.0, ARG, ARGH                , Stanford            ,cf2012    
17287,4757.0,8.0,20120908.0, ARG, ARGH                , Michigan St         ,cf2012    
17288,2881.0,9.0,20120908.0, ARG, ARGH                , Georgia             ,cf2012    
17289,2625.0,10.0,20120908.0, ARG, ARGH                , Florida             ,cf2012    
17290,5961.0,11.0,20120908.0, ARG, ARGH                , Oregon              ,cf2012    
17291,7840.0,12.0,20120908.0, ARG, ARGH                , Texas               ,cf2012    
17292,1603.0,13.0,20120908.0, ARG, ARGH                , Clemson             ,cf2012    
17293,5850.0,14.0,20120908.0, ARG, ARGH                , Ohio St             ,cf2012    
17294,2666.0,15.0,20120908.0, ARG, ARGH                , Florida St          ,cf2012    
17295,8716.0,16.0,20120908.0, ARG, ARGH                , West Virginia       ,cf2012    
17296,7801.0,17.0,20120908.0, ARG, ARGH                , Tennessee           ,cf2012    
17297,5279.0,18.0,20120908.0, ARG, ARGH                , Nebraska            ,cf2012    
17298,3731.0,19.0,20120908.0, ARG, ARGH                , Kansas St           ,cf2012    
17299,8459.0,20.0,20120908.0, ARG, ARGH                , Virginia Tech       ,cf2012    
17300,5912.0,21.0,20120908.0, ARG, ARGH                , Oklahoma St         ,cf2012    
17301,4741.0,22.0,20120908.0, ARG, ARGH                , Michigan            ,cf2012    
17302,557.0,23.0,20120908.0, ARG, ARGH                , Baylor              ,cf2012    
17303,7878.0,24.0,20120908.0, ARG, ARGH                , TCU                 ,cf2012    
17304,4936.0,25.0,20120908.0, ARG, ARGH                , Mississippi St      ,cf2012    
17305,402.0,26.0,20120908.0, ARG, ARGH                , Auburn              ,cf2012    
17306,771.0,27.0,20120908.0, ARG, ARGH                , Boise St            ,cf2012    
17307,3554.0,28.0,20120908.0, ARG, ARGH                , Iowa St             ,cf2012    
17308,4948.0,29.0,20120908.0, ARG, ARGH                , Missouri            ,cf2012    
17309,8141.0,30.0,20120908.0, ARG, ARGH                , UCLA                ,cf2012    
17310,7848.0,31.0,20120908.0, ARG, ARGH                , Texas A&M           ,cf2012    
17311,7918.0,32.0,20120908.0, ARG, ARGH                , Texas Tech          ,cf2012    
17312,316.0,33.0,20120908.0, ARG, ARGH                , Arkansas            ,cf2012    
17313,7278.0,34.0,20120908.0, ARG, ARGH                , South Florida       ,cf2012    
