,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
13095,32.0,7878.0,20080906.0, ARG, ARGH                , TCU                 ,cf2008    
13096,33.0,1872.0,20080906.0, ARG, ARGH                , Connecticut         ,cf2008    
13097,34.0,6696.0,20080906.0, ARG, ARGH                , Rutgers             ,cf2008    
13098,35.0,783.0,20080906.0, ARG, ARGH                , Boston College      ,cf2008    
13099,36.0,8367.0,20080906.0, ARG, ARGH                , Vanderbilt          ,cf2008    
13100,37.0,4741.0,20080906.0, ARG, ARGH                , Michigan            ,cf2008    
13101,38.0,8141.0,20080906.0, ARG, ARGH                , UCLA                ,cf2008    
13102,39.0,316.0,20080906.0, ARG, ARGH                , Arkansas            ,cf2008    
13103,40.0,4757.0,20080906.0, ARG, ARGH                , Michigan St         ,cf2008    
13104,41.0,771.0,20080906.0, ARG, ARGH                , Boise St            ,cf2008    
13105,42.0,5279.0,20080906.0, ARG, ARGH                , Nebraska            ,cf2008    
13106,43.0,2776.0,20080906.0, ARG, ARGH                , Fresno St           ,cf2008    
13107,44.0,1529.0,20080906.0, ARG, ARGH                , Cincinnati          ,cf2008    
13108,45.0,8099.0,20080906.0, ARG, ARGH                , Tulsa               ,cf2008    
13109,46.0,3731.0,20080906.0, ARG, ARGH                , Kansas St           ,cf2008    
13110,47.0,3425.0,20080906.0, ARG, ARGH                , Illinois            ,cf2008    
13111,48.0,1715.0,20080906.0, ARG, ARGH                , Colorado            ,cf2008    
13112,49.0,5749.0,20080906.0, ARG, ARGH                , Notre Dame          ,cf2008    
13113,50.0,6236.0,20080906.0, ARG, ARGH                , Pittsburgh          ,cf2008    
13114,51.0,2911.0,20080906.0, ARG, ARGH                , Georgia Tech        ,cf2008    
13115,52.0,4936.0,20080906.0, ARG, ARGH                , Mississippi St      ,cf2008    
13116,53.0,3540.0,20080906.0, ARG, ARGH                , Iowa                ,cf2008    
13117,54.0,3484.0,20080906.0, ARG, ARGH                , Indiana             ,cf2008    
13118,55.0,7848.0,20080906.0, ARG, ARGH                , Texas A&M           ,cf2008    
13119,56.0,4224.0,20080906.0, ARG, ARGH                , Louisville          ,cf2008    
13120,57.0,4858.0,20080906.0, ARG, ARGH                , Minnesota           ,cf2008    
13121,58.0,5970.0,20080906.0, ARG, ARGH                , Oregon St           ,cf2008    
13122,59.0,6393.0,20080906.0, ARG, ARGH                , Purdue              ,cf2008    
13123,60.0,8551.0,20080906.0, ARG, ARGH                , Washington          ,cf2008    
13124,61.0,4474.0,20080906.0, ARG, ARGH                , Maryland            ,cf2008    
13125,62.0,55.0,20080906.0, ARG, ARGH                , Air Force           ,cf2008    
13126,63.0,8068.0,20080906.0, ARG, ARGH                , Troy                ,cf2008    
13127,64.0,4719.0,20080906.0, ARG, ARGH                , Miami FL            ,cf2008    
13128,65.0,5704.0,20080906.0, ARG, ARGH                , Northwestern        ,cf2008    
13129,66.0,501.0,20080906.0, ARG, ARGH                , Ball St             ,cf2008    
13130,67.0,5492.0,20080906.0, ARG, ARGH                , North Carolina      ,cf2008    
13131,68.0,7582.0,20080906.0, ARG, ARGH                , Stanford            ,cf2008    
13132,69.0,1380.0,20080906.0, ARG, ARGH                , UCF                 ,cf2008    
13133,70.0,4920.0,20080906.0, ARG, ARGH                , Mississippi         ,cf2008    
13134,71.0,7365.0,20080906.0, ARG, ARGH                , Southern Miss       ,cf2008    
13135,72.0,2638.0,20080906.0, ARG, ARGH                , FL Atlantic         ,cf2008    
13136,73.0,3197.0,20080906.0, ARG, ARGH                , Hawaii              ,cf2008    
13137,74.0,3347.0,20080906.0, ARG, ARGH                , Houston             ,cf2008    
13138,75.0,333.0,20080906.0, ARG, ARGH                , Arkansas St         ,cf2008    
13139,76.0,8432.0,20080906.0, ARG, ARGH                , Virginia            ,cf2008    
13140,77.0,3554.0,20080906.0, ARG, ARGH                , Iowa St             ,cf2008    
13141,78.0,821.0,20080906.0, ARG, ARGH                , Bowling Green       ,cf2008    
13142,79.0,1404.0,20080906.0, ARG, ARGH                , C Michigan          ,cf2008    
13143,80.0,4785.0,20080906.0, ARG, ARGH                , MTSU                ,cf2008    
13144,81.0,5316.0,20080906.0, ARG, ARGH                , Nevada              ,cf2008    
13145,82.0,5511.0,20080906.0, ARG, ARGH                , NC State            ,cf2008    
13146,83.0,8767.0,20080906.0, ARG, ARGH                , W Michigan          ,cf2008    
13147,84.0,6535.0,20080906.0, ARG, ARGH                , Rice                ,cf2008    
13148,85.0,979.0,20080906.0, ARG, ARGH                , Buffalo             ,cf2008    
13149,86.0,8588.0,20080906.0, ARG, ARGH                , Washington St       ,cf2008    
13150,87.0,557.0,20080906.0, ARG, ARGH                , Baylor              ,cf2008    
13151,88.0,9162.0,20080906.0, ARG, ARGH                , Wyoming             ,cf2008    
13152,89.0,5323.0,20080906.0, ARG, ARGH                , UNLV                ,cf2008    
13153,90.0,7788.0,20080906.0, ARG, ARGH                , Temple              ,cf2008    
13154,91.0,4436.0,20080906.0, ARG, ARGH                , Marshall            ,cf2008    
13155,92.0,5253.0,20080906.0, ARG, ARGH                , Navy                ,cf2008    
13156,93.0,66.0,20080906.0, ARG, ARGH                , Akron               ,cf2008    
13157,94.0,4200.0,20080906.0, ARG, ARGH                , ULM                 ,cf2008    
13158,95.0,4725.0,20080906.0, ARG, ARGH                , Miami OH            ,cf2008    
13159,96.0,5371.0,20080906.0, ARG, ARGH                , New Mexico          ,cf2008    
